id,name,net_price,hierarchy_id
6650,Mistral 35,4490.0,AB.075
6870,Jugo de frambuesa,1422.0,AB.075
2650,Schop heineken,2990.0,AB.085
6590,Jhonnie Walker Black Label ,6990.0,AB.075
1290,Pebre,900.0,AB.040
1100,mechada individual,4990.0,AB.010
7990,Spritz ramazzotti,6490.0,AB.007
4381,mechada compartir,0.0,AB.530
3230,Piscola Happy,4990.0,AB.073
1210,Hamburguesa Vegana,7990.0,AB.020
3270,Schop kunstman torobayo,3990.0,AB.085
1380,coca cola sin azucar,1400.0,AB.050
4401,chicken curry compartir,0.0,AB.530
4240,Hamburguesa Americana,8990.0,AB.520
3560,Schop calafate ,4590.0,AB.085
6390,Sandy spritz,6990.0,AB.075
4361,veggie compartir,0.0,AB.530
7470,Tropical gin,5990.0,AB.075
4230,Hamburguesa Clasica,8990.0,AB.520
7400,Mojito tradicional,4990.0,AB.075
6850,Limonada menta,3290.0,AB.075
7430,Mojito Mango,5990.0,AB.075
4371,cheese and bacon compartir,0.0,AB.530
7700,Basil,6990.0,AB.075
1050,cheese and bacon compartir,5990.0,AB.010
1040,cheese and bacon individual,4290.0,AB.010
1180,Hamburguesa Clasica,6990.0,AB.020
1070,veggie compartir,5290.0,AB.010
1690,Hamburguesa  Americana,6290.0,AB.020
6860,Jugo de mango,3290.0,AB.075
7410,Mojito maracuya,5990.0,AB.075
1640,Agua con Gas,1290.0,AB.050
1220,Chicken Box S,4490.0,AB.030
GETJUSTOEX0012,coca cola promo,0.0,BA.200
1360,Honey Mustard,300.0,AB.040
4220,Ceviche mixto ,0.0,AB.510
7180,Jugo de melon ,3290.0,AB.075
2590,Austral Lager,3590.0,AB.080
1090,mexa compartir,5990.0,AB.010
6600,Jack Daniels N7,6590.0,AB.075
uber1610,Chicken Box S,5240.0,AB.100115
uberbox20,coca cola sin azucar,0.0,BA.370
1790,Hamburguesa Americana ,6890.0,AB.100120
7420,Mojito maracuya,750.0,AB.075
1200,Hamburguesa Vegetariana,7990.0,AB.020
UBEREATS0003,cheese and bacon individual,4690.0,AB.100110
9050,Hamburguesa Americana,6990.0,AB.410
9130,cheese and bacon individual,4490.0,AB.400
TOTEATDVYCOST,Costo Delivery,3213.0,AB.
9121,veggie compartir,4490.0,AB.400
1110,mechada compartir,5990.0,AB.010
3280,2 SCHOP KUNSTMAN,6490.0,AB.085
7350,Clavo oxidado,7990.0,AB.075
1370,coca cola,990.0,AB.050
7450,Mojito coco,6990.0,AB.075
6460,Moscow Mule,7490.0,AB.075
7320,Piña colada,5990.0,AB.075
6540,Caipiriña,5990.0,AB.075
1920,pollo albahaca compartir,5990.0,AB.010
6510,Cosmopolitan,5990.0,AB.075
6500,Mojito tradicional,4990.0,AB.075
UBEREATS0009,choclo champiñon compartir,4290.0,AB.100110
8030,Tropical gin ,6990.0,AB.007
1170,choclo champiñon compartir,5290.0,AB.010
2680,2 SCHOP  HEINEKEN,0.0,AB.085
6900,Chelada ,500.0,AB.085
6910,Michelada ,335.0,AB.085
1700,Hamburguesa Hot,7490.0,AB.020
1030,beefie compartir,5290.0,AB.010
1350,Lemon Garlic,300.0,AB.040
1010,single fries compartir,4490.0,AB.010
UBEREATS0012,Hamburguesa Vegetariana,6990.0,AB.100120
UBEREATS0002,beefie compartir,3790.0,AB.100110
UBEREATS0007,chicken curry compartir,4540.0,AB.100110
1720,Hamburguesa Vegana,6215.0,AB.100120
7440,Mojito frutos rojos,6990.0,AB.075
6680,Beefeater ,6490.0,AB.075
1340,Salsa de la casa,300.0,AB.040
1460,2 papas grandes + 2 bebidas,11990.0,AB.008
GETJUSTOEX0059,cheese and bacon compartir promo,0.0,BA.260
GETJUSTOEX0065,choclo champiñon compartir promo,0.0,BA.260
6140,coca cola promo,0.0,BA.520
6110,jugo durazno promo,0.0,BA.520
6560,Flor de Caña 12 años,2156.0,AB.075
6490,Margarita,4990.0,AB.075
6890,Jugo de maracuya,3290.0,AB.075
3160,2  Ramazzotti,6570.0,AB.075
4260,Hamburguesa Vegetariana,8990.0,AB.520
4310,Hamburguesa Italiana,8990.0,AB.520
4330,single fries individual,0.0,AB.530
6400,Solsticio,6990.0,AB.075
6440,Ramazzotti Spritz,2589.0,AB.075
7690,Nitantiki,6990.0,AB.075
4350,choclo champiñon individual,0.0,AB.530
2280,2 hamburguesas con papas + 2 bebidas,11890.0,AB.105
1190,Hamburguesa Clasica con papas promo,0.0,BA.325
2230,Hamburguesa Vegana con papas promo,0.0,BA.325
2240,coca cola promo,0.0,BA.326
2270,fanta promo,0.0,BA.326
4160,Mix de empanaditas,6990.0,AB.510
GETJUSTOEX0019,Agua sin Gas promo,0.0,BA.200
4710,2 hamburguesas con papas,14990.0,AB.070
3420,Hamburguesa Americana sin papas promo,0.0,AB.070
3430,Hamburguesa Clasica sin papas promo,0.0,AB.070
1060,veggie individual,4990.0,AB.010
6960,Doble carne ,1990.0,AB.020
UBEREATS0010,Hamburguesa Clasica,6690.0,AB.100120
uberbox40,sprite promo,0.0,BA.370
UBEREATS0023,Salsa garlic mayo,300.0,AB.100130
2460,Ginger Ale Light,1290.0,AB.050
1160,choclo champiñon individual,4990.0,AB.010
2360,2 papas grandes + 2 bebidas,8490.0,AB.105
2250,coca cola sin azucar promo,0.0,BA.326
2290,cheese and bacon compartir promo,0.0,BA.330
2300,beefie compartir promo,0.0,BA.330
1490,2 hamburguesas con papas + 2 bebidas,11399.0,AB.008
500001,Hamburguesa Vegetariana con papas promo,0.0,BA.230
GETJUSTOEX0036,Hamburguesa Clasica con papas promo,0.0,BA.230
6100,fanta promo,0.0,BA.520
UBEREATS0004,veggie compartir,4123.0,AB.100110
6840,Limonada Menta Jengibre,3290.0,AB.075
GETJUSTOEX0060,veggie compartir promo,0.0,BA.260
GETJUSTOEX0058,beefie compartir promo,0.0,BA.260
6120,sprite promo,0.0,BA.520
6150,coca cola sin azucar promo,0.0,BA.520
4180,Only Chicken ,7990.0,AB.510
6690,Bombay Sapphire,6490.0,AB.075
6810,Fentimans Original,1990.0,AB.075
